star_id,instrument,counts,iodine_in,bjd
12572,hires_j,44220,t,2459143.07340993
12572,hires_j,250216,t,2459124.06804342
12572,hires_j,250188,t,2459123.13792085
12572,hires_j,250028,t,2459122.05785911
12572,hires_j,250384,t,2459118.03804092
12572,hires_j,250512,t,2459116.98864488
12572,hires_j,250720,t,2459116.0364047
12572,hires_j,250680,t,2459115.09702398
12572,hires_j,250152,t,2459092.09755373
12572,hires_j,168612,t,2459087.99440735
12572,apf,374000000,t,2459077.01800835
12572,apf,271000000,t,2459073.9440755
12572,apf,348000000,t,2459069.9996737
12572,hires_j,250572,t,2459069.09846578
12572,apf,503000000,t,2459064.86819796
12572,hires_j,250188,t,2459064.08526432
12572,apf,345000000,t,2459062.91195606
12572,apf,194000000,t,2459060.89291917
12572,apf,405000000,t,2459059.98895421
12572,apf,238000000,t,2459056.90604037
12572,apf,306000000,t,2459055.97469941
12572,apf,431000000,t,2459052.96797457
12572,apf,235000000,t,2459051.96817962
12572,apf,322000000,t,2459042.98655307
12572,apf,571000000,t,2459041.97894812
12572,hires_j,250216,t,2459041.11988741
12572,apf,262000000,t,2459039.93047223
12572,hires_j,250508,t,2459039.11884704
12572,apf,228000000,t,2459036.98635138
12572,apf,191000000,t,2459036.96456738
12572,apf,178000000,t,2459036.94344238
12572,apf,214000000,t,2459035.97025343
12572,apf,196000000,t,2459035.94878143
12572,apf,156000000,t,2459035.92858243
12572,hires_j,250860,t,2459036.12248865
12572,apf,237000000,t,2459033.97428953
12572,apf,194000000,t,2459033.95299153
12572,apf,196000000,t,2459033.93120653
12572,apf,314000000,t,2459031.97912663
12572,apf,314000000,t,2459031.95771263
12572,apf,304000000,t,2459031.93643763
12572,hires_j,250616,t,2459029.10459818
12572,apf,433000000,t,2459026.99532488
12572,apf,517000000,t,2459026.97631888
12572,apf,191000000,t,2459024.97999798
12572,apf,111000000,t,2458904.66965279
12572,apf,122000000,t,2458904.65514079
12572,apf,126000000,t,2458904.64060479
12572,apf,108000000,t,2458899.71014101
12572,apf,136000000,t,2458899.69507301
12572,apf,166000000,t,2458899.68076901
12572,apf,145000000,t,2458898.71033706
12572,apf,159000000,t,2458898.69621806
12572,apf,191000000,t,2458898.68197106
12572,hires_j,250096,t,2458905.73739608
12572,hires_j,250524,t,2458904.70793728
12572,hires_j,211288,t,2458903.76727849
12572,hires_j,250444,t,2458884.7855798
12572,hires_j,125876,t,2458879.82059701
12572,hires_j,250408,f,2458878.79790999
12572,hires_j,250340,f,2458878.79434535
12572,hires_j,250136,t,2458878.78706609
12572,hires_j,250048,t,2458870.83232859
12572,hires_j,250088,f,2458869.83005537
12572,hires_j,125196,t,2458869.82682669
135694,hires_j,250064,t,2459123.72717452
135694,hires_j,250484,t,2459122.72951617
135694,hires_j,125336,t,2459121.71840888
135694,hires_j,250208,t,2459120.72545025
