star_id,runname,dvdt,curv,u_dvdt,u_curv
12572,12752_final,-0.0581,0.0,0.0011,0.0
12572,DG_eccentric,-0.0578,-2.1e-06,0.0033,3.8e-06
12572,2pl_sc3_catalog,-0.06,-1.7e-06,0.0039,5.3e-06
12572,2pl_no_tks_no_jitter,-0.06521,-5.01e-06,0.00095,3.7e-07
12572,2pl_no_tks,-0.0652,-5.02e-06,0.0014,7.2e-07
12572,2pl_old_sophie_diff_offset,-0.0636,0.0,0.0012,0.0
12572,2pl_no_old_sophie,-0.066,3.8e-06,0.0035,5.1e-06
12572,2pl_all_data,-0.0611,-3.48e-06,0.0011,6.2e-07
12572,1_pl_shk_sig,-0.0596,0.0,0.0013,0.0
12572,2_pl_exofop,-0.0596,0.0,0.0016,0.0
12572,2_pl_trend,-0.0603,0.0,0.0012,0.0
12572,12572_DG,-0.0599,-2.2e-06,0.0037,4.9e-06
12572,default_cps,-0.0596,0.0,0.0012,0.0
12572,1pl_circ_trend_hires,-0.0616,0.0,0.0016,0.0
12572,eccentric,-0.0595,0.0,0.0012,0.0
12572,default,-0.0596,0.0,0.0012,0.0
135694,135694_final,0.007,-8.2e-06,0.0027,5.2e-06
135694,DG_gp_prot32d_ntp45d,0.0034,-2e-06,0.0045,5.6e-06
135694,sc3_catalog_gp,0.0,0.0,0.0,0.0
135694,sc3_catalog,0.0026,0.0,0.0012,0.0
135694,gp_prot45d_ntp32d,0.0,0.0,0.0,0.0
135694,gp_prot45d,0.0,0.0,0.0,0.0
135694,gp_prot32d,0.0,0.0,0.0,0.0
135694,gp_prot32d_ntp45d,0.0,0.0,0.0,0.0
135694,3pl_circ,0.0,0.0,0.0,0.0
135694,gp_hires_shk,0.0,0.0,0.0,0.0
135694,gp,0.0,0.0,0.0,0.0
135694,2pl_circ,0.0,0.0,0.0,0.0
135694,default_cps,0.0028,0.0,0.0012,0.0
135694,gp_hires_shk_training,0.0,0.0,0.0,0.0
135694,default,0.0028,0.0,0.0012,0.0
146757,146757_final,0.0,0.0,0.0,0.0
146757,DG_2pl,-0.0053,-8e-07,0.0072,7.4e-06
146757,default_TKS,-0.0072,-4.1e-06,0.0041,8.7e-06
146757,2pl_ecc,0.0,0.0,0.0,0.0
146757,2pl_circ_ecc,0.0,0.0,0.0,0.0
146757,default_cps,-0.0079,0.0,0.0028,0.0
146757,2pl,0.0,0.0,0.0,0.0
146757,146757_notrend,0.0,0.0,0.0,0.0
146757,146757_ecc_notrend,0.0,0.0,0.0,0.0
146757,default,-0.0079,0.0,0.0028,0.0
154840,154840_final_updated,0.0,0.0,0.0,0.0
154840,DG_default_cps,5e-05,-4.5e-06,0.002,5.5e-06
154840,154840_final,0.0,0.0,0.0,0.0
154840,default_Tks,0.0006,-4.5e-06,0.0023,5.5e-06
154840,default_cps,-0.0009,0.0,0.0016,0.0
154840,1pl_ecc,-0.0007,0.0,0.0016,0.0
154840,hires,-0.001,0.0,0.002,0.0
154840,default,-0.0009,0.0,0.0016,0.0
156141,156141_final_updated,0.0391,-4.01e-05,0.0015,5.2e-06
156141,DG_156141,0.0789,-4.88e-05,0.0041,4.9e-06
156141,156141_final,0.0365,-4.88e-05,0.0014,4.8e-06
156141,Default_Tks,0.0365,-4.88e-05,0.0014,4.7e-06
156141,156141_DG,0.0756,-4.37e-05,0.0044,5.4e-06
156141,default_cps,0.039,0.0,0.0016,0.0
156141,1plecc_noAPF,0.0398,0.0,0.0027,0.0
156141,1pl_ecc,0.039,0.0,0.0016,0.0
156141,default,0.039,0.0,0.0016,0.0
191939,191939_final,0.1308,-6.54e-05,0.0031,3.1e-06
191939,default_cps,0.0696,0.0,0.0031,0.0
191939,191939_4P_circ_trend_curv,0.1351,-7.06e-05,0.0029,2.8e-06
191939,191939_3Pcirce1Pecc_trend_HIRES,0.0645,0.0,0.0022,0.0
191939,191939_3Pcirce1Pecc_trend,0.0667,0.0,0.0015,0.0
191939,default,0.0695,0.0,0.0031,0.0
191939,191939_4P_circ_trend,0.0669,0.0,0.0015,0.0
191939,191939_4P_circ,0.0,0.0,0.0,0.0
207897,DG_1pl_ecc,0.00059,3.5e-07,0.00072,3.5e-07
207897,207897_final,0.00165,3.4e-07,0.00095,1.8e-07
207897,default_Tks,0.00173,4.2e-07,0.00099,2.4e-07
207897,default_cps,-0.0005,0.0,0.00037,0.0
207897,1pl_ecc,-0.0002,0.0,0.00055,0.0
207897,default,-0.00049,0.0,0.00037,0.0
219134,default,-0.00076,0.0,0.00015,0.0
237566,237566_final,0.0,0.0,0.0,0.0
237566,tks_default,0.001,0.0,0.002,0.0
237566,DG_default,3e-05,4.5e-06,0.0018,6.4e-06
237566,default_cps,-0.0001,0.0,0.0018,0.0
237566,default,-0.0002,0.0,0.0018,0.0
63935,DG_2pl_circ,-0.0039,-6.7e-06,0.0011,3.5e-06
63935,63935_final,-0.0106,-1.34e-05,0.0033,4.7e-06
63935,2pl_circ_trend,-0.00273,0.0,0.00093,0.0
63935,default_cps,-0.0027,0.0,0.0015,0.0
63935,3pl_circ_w_HARPS-N,0.0,0.0,0.0,0.0
63935,3pl_circ,0.0,0.0,0.0,0.0
63935,1pl_ecc,0.0056,0.0,0.0035,0.0
63935,2pl_ecc,0.0,0.0,0.0,0.0
63935,2pl_circ,0.0,0.0,0.0,0.0
63935,default_correct_per,0.0,0.0,0.0,0.0
63935,default,-0.0026,0.0,0.0015,0.0
75732,7planet,0.0,0.0,0.0,0.0
75732,remove_outliers,0.0,0.0,0.0,0.0
75732,default,0.00093,0.0,0.00028,0.0
93963,DG_2_pl_circ_no_trend,-0.03,-0.000109,0.005,1.5e-05
93963,93963_final,0.0,0.0,0.0,0.0
93963,2_pl_circ_no_trend,0.0,0.0,0.0,0.0
93963,3_pl_circ,0.0,0.0,0.0,0.0
93963,2_pl_circ_curv,0.0,-0.000119,0.0,1.6e-05
93963,2_pl_circ_trend,-0.0357,0.0,0.0064,0.0
93963,93963_DG,0.0111,-0.000142,0.0075,2.7e-05
93963,default_cps,-0.0323,0.0,0.0064,0.0
93963,default,-0.0325,0.0,0.0063,0.0
GJ9522A,GJ9522A_finaly,0.0064,2.7e-05,0.0058,1.3e-05
GJ9522A,DG_2pl_circ_notrend,-0.0089,8.8e-06,0.0056,5.8e-06
GJ9522A,3pl_circ_notrend,0.0,0.0,0.0,0.0
GJ9522A,default_cps,-0.002,0.0,0.002,0.0
GJ9522A,gp_shk_training,0.0,0.0,0.0,0.0
GJ9522A,gp_shk,0.0,0.0,0.0,0.0
GJ9522A,2pl_circ_notrend,0.0,0.0,0.0,0.0
GJ9522A,default,-0.0017,0.0,0.0019,0.0
HIP97166,HIP97166_final,0.0081,0.0,0.0011,0.0
HIP97166,default_cps,0.0055,0.0,0.0016,0.0
HIP97166,HIP97166_ecc-HIRES_only,0.0,0.0,0.0,0.0
HIP97166,HIP97166_2planet-ecc,-0.001,6.1e-06,0.0093,6.7e-06
HIP97166,HIP97166_2planet-circ,0.0,0.0,0.0,0.0
HIP97166,HIP97166_ecc-mason_custom,0.0,0.0,0.0,0.0
HIP97166,HIP97166_ecc-jitprior,0.00815,0.0,0.00031,0.0
HIP97166,HIP97166_ecc,0.0066,-1.8e-06,0.0078,9.2e-06
HIP97166,HIP97166_ecc-notrend,0.0,0.0,0.0,0.0
HIP97166,default,0.0056,0.0,0.0017,0.0
T001173,T001173_final,0.0,0.0,0.0,0.0
T001173,DG_default,-0.0009,-1.1e-06,0.0033,8.4e-06
T001173,default_cps,-0.001,0.0,0.0031,0.0
T001173,default,-0.0009,0.0,0.0031,0.0
T001174,T001174_final,-0.068,0.000104,0.013,4.5e-05
T001174,DG_default_cps,-0.0779,0.000142,0.0088,2.9e-05
T001174,default_TKS,-0.0431,0.000143,0.0086,2.9e-05
T001174,T001174_DG,-0.134,0.000141,0.017,2.9e-05
T001174,default_cps,-0.056,0.0,0.011,0.0
T001174,GP,0.0,0.0,0.0,0.0
T001174,1pl_ecc,0.0,0.0,0.0,0.0
T001174,1pl_circ,0.0,0.0,0.0,0.0
T001174,default,-0.056,0.0,0.011,0.0
T001180,T001180_final_updated,0.0,0.0,0.0,0.0
T001180,default_TKS,-0.0061,-1.7e-05,0.0051,1.7e-05
T001180,T001180_final,0.0,0.0,0.0,0.0
T001180,DG_default_cps,-0.004,-2.2e-05,0.0049,1.6e-05
T001180,default_cps,-0.0055,0.0,0.0048,0.0
T001180,default,-0.0057,0.0,0.0048,0.0
T001194,T001194_final,0.0,0.0,0.0,0.0
T001194,DG_1pl_circ,-0.01,8e-06,0.01,1.2e-05
T001194,default,-0.0008,0.0,0.0029,0.0
T001194,default_cps,-0.0008,0.0,0.0029,0.0
T001194,1pl_trend,-0.001,0.0,0.003,0.0
T001194,1pl_ecc,0.0,0.0,0.0,0.0
T001194,1pl_curv,0.0,-5e-07,0.0,3.4e-06
T001194,1pl_circ_trend_curv,-0.01,8e-06,0.01,1.2e-05
T001194,1pl_circ,0.0,0.0,0.0,0.0
T001244,T001244_final,0.0,0.0,0.0,0.0
T001244,DG_default,-0.0026,3.4e-05,0.0043,1.9e-05
T001244,default_cps,-0.0049,0.0,0.0043,0.0
T001244,default,-0.005,0.0,0.0043,0.0
T001246,T001246_final_updated,0.0008,2.1e-05,0.0012,5.3e-06
T001246,T001246_final,0.001,1.94e-05,0.001,4.4e-06
T001246,DG_4pl,-0.0144,2.29e-05,0.0047,5.4e-06
T001246,Default_Tks,0.0011,1.92e-05,0.0011,4.4e-06
T001246,default_cps,0.003,0.0,0.002,0.0
T001246,minus_planet_e,0.005,0.0,0.0017,0.0
T001246,minus_planet_d,0.0047,0.0,0.0016,0.0
T001246,minus_planet_c,0.0041,0.0,0.0016,0.0
T001246,minus_planet_b,0.004,0.0,0.0016,0.0
T001246,4pl_ecc,0.0047,0.0,0.0016,0.0
T001246,4pl,0.0047,0.0,0.0015,0.0
T001246,default,0.003,0.0,0.002,0.0
T001248,DG_default,0.0088,-1.2e-05,0.0053,1.8e-05
T001248,default_cps,0.0069,0.0,0.0045,0.0
T001248,default,0.0069,0.0,0.0045,0.0
T001249,T001249_final,0.016,2.6e-05,0.0065,1.4e-05
T001249,DG_default_cps,0.0048,5e-06,0.0034,9.6e-06
T001249,default_Tks,0.0054,1e-05,0.0036,1e-05
T001249,default_Tks_GP,0.0049,3e-07,0.0048,9.3e-06
T001249,T001249_DG,0.0084,2.6e-05,0.0032,1.2e-05
T001249,default_cps,0.0052,0.0,0.0032,0.0
T001249,default,0.0051,0.0,0.0032,0.0
T001269,T001269_final,0.0,0.0,0.0,0.0
T001269,DG_default_2pl,0.0002,4.3e-06,0.0053,8.7e-06
T001269,default_2pl,0.0024,0.0,0.0028,0.0
T001269,default_cps,0.001,0.0,0.003,0.0
T001269,default,0.001,0.0,0.003,0.0
T001272,T001272_final,0.0,0.0,0.0,0.0
T001272,DG_ecc_3planet,-0.004,-8e-07,0.0088,8.3e-06
T001272,default_cps,-0.003,0.0,0.004,0.0
T001272,T001272_ecc,0.0,0.0,0.0,0.0
T001272,T001272_jit_2,-0.0028,0.0,0.0011,0.0
T001272,T001272_ecc_3planet-22day,-0.0031,0.0,0.0019,0.0
T001272,T001272_ecc_3planet,0.0,0.0,0.0,0.0
T001272,T001272_ecc_2planet-9day,-0.004,0.0,0.0031,0.0
T001272,T001272_ecc_2planet,0.016,0.0,0.045,0.0
T001272,circ,-0.0026,0.0,0.0039,0.0
T001272,default,-0.003,0.0,0.004,0.0
T001279,T001279_final_updated,-0.008,0.0,0.002,0.0
T001279,T001279_final,-0.0064,0.0,0.0017,0.0
T001279,DG_default_cps,-0.0082,5.4e-06,0.0029,7.3e-06
T001279,default_Tks,-0.0066,0.0,0.0017,0.0
T001279,default_Tks_GP,-0.0073,3e-06,0.0058,1.1e-05
T001279,default_cps,-0.0064,0.0,0.0018,0.0
T001279,1pl_ecc,-0.0066,0.0,0.0018,0.0
T001279,default,-0.0065,0.0,0.0018,0.0
T001288,T001288_final,0.0,0.0,0.0,0.0
T001288,DG_T001288_2p_new_priors,0.0044,-7.4e-06,0.0061,7.1e-06
T001288,T001288_2p_new_priors,0.0,0.0,0.0,0.0
T001288,T001288_2p_noTrend-erik,0.0,0.0,0.0,0.0
T001288,default_cps,-0.0009,0.0,0.0032,0.0
T001288,T001288_2p_noTrend,0.0,0.0,0.0,0.0
T001288,default,-0.0009,0.0,0.0033,0.0
T001410,T001410_final,-0.0047,-2.8e-06,0.0042,7.4e-06
T001410,tks_default,-0.0018,0.0,0.0025,0.0
T001410,DG_T001410_3planet-combined,0.0009,-3.9e-06,0.0046,3.7e-06
T001410,T001410_3planet-combined,-0.005,0.0,0.0026,0.0
T001410,default_cps,-0.0041,0.0,0.0022,0.0
T001410,T001410_2planet_kesprint,-0.016,0.0,0.014,0.0
T001410,T001410_2planet_combined,-0.0035,0.0,0.0012,0.0
T001410,T001410_3planet-ecc,-0.0017,0.0,0.0017,0.0
T001410,T001410_2planet-ecc,-0.0035,0.0,0.0012,0.0
T001410,ecc,-0.0041,0.0,0.0022,0.0
T001410,default,-0.0041,0.0,0.0022,0.0
T001422,T001422_final,0.0128,0.0,0.0029,0.0
T001422,DG_1pl_trend,0.0131,-2e-06,0.0075,8.3e-06
T001422,default_cps,0.0113,0.0,0.0024,0.0
T001422,1pl_trend,0.0113,0.0,0.0024,0.0
T001422,1pl_ecc,0.0,0.0,0.0,0.0
T001422,1pl_curv,0.0,1.16e-05,0.0,2.8e-06
T001422,1pl_circ,0.0,0.0,0.0,0.0
T001422,default,0.0113,0.0,0.0024,0.0
T001438,T001438_final,0.0825,0.0,0.0056,0.0
T001438,DG_2pl,0.083,-8e-06,0.011,2.4e-05
T001438,default_TKS,0.0797,-2.1e-05,0.0066,2.8e-05
T001438,T001438_DG,0.083,-8e-06,0.011,2.4e-05
T001438,2pl,0.08,0.0,0.0048,0.0
T001438,notrend,0.0,0.0,0.0,0.0
T001438,default_cps,0.081,0.0,0.005,0.0
T001438,default,0.081,0.0,0.005,0.0
T001443,T001443_final_update,0.029,0.0,0.0046,0.0
T001443,T001443_final,0.026,0.0,0.0043,0.0
T001443,DG_default,0.027,-5e-06,0.0051,1.6e-05
T001443,default_Tks,0.0246,-1.1e-05,0.0044,1.5e-05
T001443,default_cps,0.026,0.0,0.0042,0.0
T001443,default,0.0259,0.0,0.0043,0.0
T001444,T001444_final,0.00591696095355048,0.0,,
T001444,T001444_final,0.00591696095355048,0.0,,
T001444,tks_default,-0.0007,0.0,0.0024,0.0
T001444,DG_no-binning_3p,-0.0037,3.3e-06,0.0069,8.3e-06
T001444,no-binning_3p,-0.000530493825059722,0.0,,
T001444,no-binning_3p,-0.000530493825059722,0.0,,
T001444,default_cps,-0.0025,0.0,0.0021,0.0
T001444,no-binning_2p,-0.002,0.0,0.002,0.0
T001444,no-binning_all,-0.012,0.0,0.017,0.0
T001444,no-binning,0.0,0.0,0.0,0.0
T001444,simulated,0.0004,0.0,0.014,0.0
T001444,default,-0.0024,0.0,0.0021,0.0
T001451,T001451_final,0.0,0.0,0.0,0.0
T001451,tks_default,0.0028,0.0,0.0017,0.0
T001451,DG_2pl_circ,0.0105,-7.2e-06,0.0068,5.3e-06
T001451,2pl_circ,0.0016,0.0,0.0013,0.0
T001451,default_cps,0.0026,0.0,0.0017,0.0
T001451,ecc-custom_2pl,0.0013,0.0,0.0013,0.0
T001451,ecc-custom,0.0026,0.0,0.0015,0.0
T001451,hires-ecc,0.0019,0.0,0.0021,0.0
T001451,ecc,0.0026,0.0,0.0015,0.0
T001451,hires,0.0018,0.0,0.0019,0.0
T001451,default,0.0026,0.0,0.0017,0.0
T001472,T001472_final,0.0,0.0,0.0,0.0
T001472,DG_1pl_trend,0.018,-1.4e-05,0.019,2.1e-05
T001472,T001472_2pl_trend_DG,0.014,0.0,0.006,0.0
T001472,DG_T001472_2pl_trend,0.009,0.0,0.013,0.0
T001472,default_cps,0.006,0.0,0.005,0.0
T001472,1pl_trend,0.006,0.0,0.005,0.0
T001472,1pl_curv,0.0,5.5e-06,0.0,5.8e-06
T001472,1pl_circ,0.0,0.0,0.0,0.0
T001472,default,0.006,0.0,0.0051,0.0
T001669,T001669_final_updated,-0.0305,0.0,0.0061,0.0
T001669,default_TKS,-0.0408,4.8e-05,0.0096,4.8e-05
T001669,T001669_final,-0.039,0.0,0.009,0.0
T001669,DG_outer_giant_circ,-0.04,4.5e-05,0.02,4.6e-05
T001669,T001669_outer_giant_circ_DG,-0.0264,0.0,0.0056,0.0
T001669,T001669_outer_giant_circ,-0.00173365572621319,0.0,,
T001669,T001669_outer_giant_circ,-0.00173365572621319,0.0,,
T001669,default_cps,-0.038,0.0,0.009,0.0
T001669,default,-0.038,0.0,0.009,0.0
T001691,T001691_final_updated,0.0,0.0,0.0,0.0
T001691,T001691_final,0.0,0.0,0.0,0.0
T001691,DG_default_cps,-0.004,1.59e-05,0.0034,9.8e-06
T001691,default_Tks,-0.0029,0.0,0.0032,0.0
T001691,default_cps,-0.001,0.0,0.003,0.0
T001691,default,-0.0012,0.0,0.0029,0.0
T001694,T001694_final,0.0,0.0,0.0,0.0
T001694,DG_2pl_circ,0.0002,8e-06,0.014,1.7e-05
T001694,T001694_2pl_circ_DG,0.0,0.0,0.0,0.0
T001694,T001694_2pl_circ,0.0,0.0,0.0,0.0
T001694,default_cps,-0.003,0.0,0.021,0.0
T001694,1pl_trend,-0.002,0.0,0.019,0.0
T001694,1pl_circ,0.0,0.0,0.0,0.0
T001694,default,-0.004,0.0,0.02,0.0
T001710,default_Tks_No_GP,-0.0112,0.0,0.0033,0.0
T001710,T001710_final,-0.0138,0.0,0.0031,0.0
T001710,DG_default,-0.0114,8e-06,0.0034,1.3e-05
T001710,default_Tks,-0.0137,2e-06,0.0042,1.7e-05
T001710,default_cps,-0.0112,0.0,0.0033,0.0
T001710,default,-0.0112,0.0,0.0032,0.0
