"Name","toi","vmag","ra","dec","teff","vsini","svalue","logrhk","mass","radius","last_observed","last_observed_apf","last_observed_hires_j","have_template_hires_j","have_template_apf","tic","ruwe","evol","toi_cand","per","rp","in_tks_drop","in_tks_sc2a"
"1300","1548","9.27","0.29056667","42.281944","5900","2.45899560136e-7","0.12845","-5.24792257046855","0.885141993488","1.098","16","16","16","1","1","440100539","0.97","MS","1548.01","12.6017","3.73","0","0"
"6061","1473","8.84","1.039875","37.185278","5921","2.40482213702","0.17905","-4.86105744094083","1.03272266676","1.09","2","2","10","1","1","352413427","1","MS","1473.01","5.255294","2.6","0","1"
"12572","1471","9.2","2.0602583","21.280611","5553","0.00963742218752","0.1416","-5.13460090149753","0.906051657977","1.075","2","2","14","1","0","306263608","1.2","MS","1471.01","20.772024","3.9","0","1"
"63433","1726","6.91","7.8319616","27.363184","5631.5","6.564415625475","0.2966","-4.5460930300966","0.9917830996685","0.9245","41","75","41","1","1","130181866","1","MS","1726.02","20.54591","2.85","0","0"
"63433","1726","6.91","7.8319616","27.363184","5631.5","6.564415625475","0.2966","-4.5460930300966","0.9917830996685","0.9245","41","75","41","1","1","130181866","1","MS","1726.01","7.10815","2.3","0","0"
"63935","509","8.58","7.8616778","9.3865","5490","0.236961804513","0.153","-5.06013056977006","0.929936483836","1.075","51","89","51","1","1","453211454","1.1","MS","509.01","18.119809","3.1","0","1"
"75732","1773","5.95","8.8766142","28.330819","5270.5","0.1693378720105","0.169","-5.02854343929902","0.97470756317","0.939","27","293","27","1","1","332064670","0.99","MS","1773.01","0.73665","1.94","0","1"
"77946","1778","8.852","9.11851","46.67243","5863","2.15140444001","0.12525","-5.29744214531086","1.15987722446","1.353","23","86","23","1","0","39699648","1.09","MS","1778.01","6.51595","3.03","0","1"
"85426","1774","8.082","9.87746","35.11101","5707.6373399","0.752216535252","0.1433","-5.12075121502443","0.951728341506","1.15144964135","26","86","26","0","0","4897275","0.96","MS","1774.01","16.71004","2.96","0","1"
"87620","1777","9.154","10.12047","46.11488","5819.31586006","1.56290757715","0.1543","-5.03628723463786","0.9875100668975","1.01145598689","27","86","27","0","0","29191624","1.01","MS","1777.01","14.6532","2.47","0","1"
"93963","1797","9.034","10.85178","25.64106","5855.5","3.701416795845","0.1679","-4.92602678724473","1.08240371352","1.116","20","87","20","0","0","368435330","0.97","MS","1797.01","3.64543","3.42","0","1"
"95072","1776","8.09","10.98515","40.98372","5677","0.273844663409803","0.1446","-5.11203564169216","0.8704039866125","1.0695","10","38","10","1","1","21535395","0.96","MS","1776.01","2.80099","1.48","0","1"
"96735","1799","8.81","11.14886","34.30301","5639","0.0000181768306558","0.1388","-5.15534333386938","0.893924429715","1.015","10","35","10","1","1","8967242","0.98","MS","1799.01","7.09385","1.76","0","1"
"97658","1821","7.78","11.242545","25.710385","5114.5","1.506355595145e-7","0.1853","-4.93091017018651","0.771773458202","0.7615","48","48","52","1","1","82308728","1.01","MS","1821.01","9.497","2.16","0","0"
"102121","1434","8.78","11.758706","65.540806","5248","0.253395534751","0.23375","-4.77253751109168","0.81566152363","0.795","3","4","3","1","1","138588540","1","MS","1434.01","29.889399","2.2","0","1"
"110067","1835","8.172","12.65595","20.02734","5243","0.366160018446","0.223","-4.80233296739919","0.835409486921","0.811","13","48","13","1","0","347332255","0.99","MS","1835.01","5.64196","1.99","0","0"
"110067","1835","8.172","12.65595","20.02734","5243","0.366160018446","0.223","-4.80233296739919","0.835409486921","0.811","13","48","13","1","0","347332255","0.99","MS","1835.02","null","2.54","0","0"
"135694","1247","9.08","15.191464","71.84075","5700.5","0.653323396360461","0.2032","-4.78694762987169","0.885299775429","0.9925","3","36","3","1","1","232540264","1.1","MS","1247.01","15.923849","3","0","1"
"146757","1751","null","16.232589","63.533333","6008","2.13736156197","0.1219","-5.31907402082222","0.914921596569","1.211","8","85","8","1","1","287080092","0.97","MS","1751.01","37.47348","2.99","0","1"
"154840","1437","9.17","17.075917","56.8425","6007","2.25258580911","0.1305","-5.22869039884891","1.00434647922","1.068","2","2","3","1","1","198356533","1.1","MS","1437.01","18.840143","2.5","0","1"
"156141","1742","8.86","17.155258","71.876667","5640.5","1.5324115982255","0.1355","-5.18553799902564","1.02605930948","1.083","11","11","18","1","1","219857012","1","MS","1742.01","21.27211","2.38","0","1"
"158259","1462","6.46","17.423349","52.790684","5885","0.404788376973","0.1615","-4.97582667608016","0.977460952171","1.153","1","1","3","1","1","188768068","1.1","MS","1462.01","2.178256","1.3","0","1"
"191939","1339","8.97","20.134869","66.850722","5351.5","0.8178915354967","0.14745","-5.09957832334755","0.8387707732425","1.181","1","1","3","1","1","269701147","1.1","MS","1339.03","null","1.9","0","1"
