star_id,toi,tic,ra,dec,vmag,Rs,smass,Rp,ruwe,evol,period,observation_id,logrhk,sval,vsini,teff,Unnamed: 0
WASP156,465.01,270380593,2.1854722,2.4180556,11.5869998931885,0.85,0.81,5.64,1.1,MS,3.836317,j389.485,-5.11090193997538,0.1667,0.234485305676,5009.18567269,46
63935,509.01,453211454,7.8616778,9.3865,8.58,0.96,0.98,3.07,1.07,MS,18.119809,bon.930,-4.96102598501452,0.17112116136,0.29239205329,5534.91786322,9
T001173,1173.01,232967440,13.178872,70.767778,11.039999961853,0.96,0.92,9.22,0.87,MS,7.06423,j429.172,-5.00400387603023,0.1656,1.1534074637,5352.45282482,14
T001174,1174.01,154089169,13.947811,68.618056,10.960000038147,0.76,0.85,2.31,1.01,MS,8.95311,bqx.502,-4.74720169813053,0.290512960963,1.18105643625,5093.17564237,15
T001180,1180.01,158002130,14.303719,82.193611,11.0200004577637,0.73,0.75,2.85,1.1,MS,9.692137,j487.69,-4.64059491614983,0.4594,2.59936982164,4790.50590113,16
T001194,1194.01,147950620,11.1881,69.964722,11.3000001907349,0.99,0.92,8.86,1.09,MS,2.310602,j363.524,-5.04444191716865,0.159,0.22849335537,5420.31996931,17
T001244,1244.01,219850915,17.085303,69.518889,11.3800001144409,0.72,0.73,2.39,0.87,MS,6.398386,j426.293,-4.76095442427001,0.4058,3.04551328185,4675.47032265,18
T001246,1246.01,230127302,16.741058,70.429722,11.6300001144409,0.88,0.87,3.33,0.93,MS,18.652357,j371.291,-5.12248618391819,0.1465,0.0919737488739,5151.90646973,19
135694,1247.01,232540264,15.191464,71.84075,9.08,1.08,1.02,2.8,1.08,MS,15.923849,cnf.490,-5.06553567661846,0.149778800233,1.4592157167e-07,5645.9066905,1
T001248,1248.01,232612416,17.268239,63.105556,11.8450002670288,0.87,0.89,6.62,0.97,MS,4.360136,j452.143,-4.80238205908561,0.2363,2.26628011532,5272.90555477,20
T001249,1249.01,232976128,13.370772,66.308333,11.0900001525879,1.0,0.95,3.15,0.96,MS,13.0783,j396.499,-5.09959452538685,0.1475,0.244954004988,5489.55607278,21
HIP97166,1255.01,237222864,19.749611,74.062667,9.85000038146973,0.87,0.86,2.7,1.1,MS,10.288882,cac.680,-4.91917013845557,0.213326362835,0.131223442287,5198.42685346,13
T001269,1269.01,198241702,16.646442,64.559167,11.6120004653931,0.85,0.97,2.38,0.79,MS,4.252932,j409.318,-5.06053488567122,0.1528,1.31005397953,5466.69629136,22
T001272,1272.01,417948359,13.279747,49.860833,11.8780002593994,0.81,0.82,4.29,0.92,MS,3.315997,j371.290,-4.76229916098685,0.293,0.630335493683,5086.35092982,23
T001279,1279.01,224297258,12.337525,56.201389,10.710000038147,0.84,0.96,2.58,0.89,MS,9.61548,bqo.762,-4.93466126464911,0.179729679193,0.342872462677,5396.80886718,24
T001288,1288.01,365733349,20.877803,65.608611,10.4399995803833,0.92,1.18,4.73,1.06,MS,2.700062,bqh.299,-4.96083453483058,0.159220669729,0.544663995651,5328.53661364,25
