cps,toi,tic,ra,dec,Vmag,Rs,smass,Rp,ruwe,evol,period
WASP156,465.01,270380593,32.7818,2.418,11.559000000000001,0.85,0.81,5.64,1.1,MS,3.836317
63935,509.01,453211454,117.925,9.3861,8.58,0.96,0.98,3.07,1.07,MS,18.119809
25463,554.01,407966340,60.7479,9.2085,6.9110000000000005,1.43,1.25,3.41,1.09,MS,7.0486020000000025
T000561,561.01,377064495,148.1856,6.2164,10.252,0.84,0.95,3.77,1.13,MS,10.781327
T001136,1136.01,142276270,192.1849,64.8553,9.533999999999999,0.98,1.03,4.72,1.05,MS,12.51781
HTR155-001,1144.01,28230919,297.7094,48.0809,9.46,0.76,0.77,4.87,0.98,MS,4.887823
T001173,1173.01,232967440,197.6823,70.7684,11.038,0.96,0.92,9.22,0.87,MS,7.06423
T001174,1174.01,154089169,209.2181,68.618,10.964,0.76,0.85,2.31,1.01,MS,8.95311
T001180,1180.01,158002130,214.5531,82.194,11.017000000000001,0.73,0.75,2.85,1.1,MS,9.692137
T001184,1184.01,233087860,272.2039,60.6782,10.988,0.69,0.71,2.4,1.08,MS,5.7484199999999985
T001194,1194.01,147950620,167.8205,69.9647,11.302,0.99,0.92,8.86,1.09,MS,2.310602
T001235,1235.01,103633434,152.2159,69.2765,11.495,0.63,0.61,1.73,1.05,MS,3.444703
K00244,1237.01,120960812,286.6384,39.4879,10.769,1.48,1.2,5.26,1.0,MS,12.726356
T001244,1244.01,219850915,256.2803,69.5194,11.929,0.72,0.73,2.39,0.87,MS,6.398386
T001246,1246.01,230127302,251.1165,70.4296,11.632,0.88,0.87,3.33,0.93,MS,18.652357
135694,1247.01,232540264,227.8705,71.84100000000002,9.08,1.08,1.02,2.8,1.08,MS,15.923849
T001248,1248.01,232612416,259.0236,63.106,11.806,0.87,0.89,6.62,0.97,MS,4.360136
T001249,1249.01,232976128,200.5617,66.3087,11.089,1.0,0.95,3.15,0.96,MS,13.0783
HIP97166,1255.01,237222864,296.2443,74.0627,9.92,0.87,0.86,2.7,1.1,MS,10.288882
T001258,1258.01,288132261,209.485,79.5832,9.634,1.49,1.16,4.19,1.05,MS,10.26086
T001260E,1260.01,355867695,157.1459,65.8546,11.922,0.69,0.66,2.4,1.07,MS,3.12716
T001261,1261.01,356311210,268.0161,53.7306,11.207,1.01,1.07,4.01,0.91,MS,18.055717
347039,1263.01,406672232,309.3534,22.6546,9.357999999999999,0.82,0.86,1.43,1.01,MS,1.021332
