star_id,toi,tic,ra,dec,vmag,Rs,smass,Rp,ruwe,evol,period,logrhk,sval,vsini,teff
WASP156,465.01,270380593,32.7818,2.418,11.559000000000001,0.85,0.81,5.64,1.1,MS,3.836317,-5.1109019399753794,0.1667,0.234485305676,5009.18567269
63935,509.01,453211454,117.925,9.3861,8.58,0.96,0.98,3.07,1.07,MS,18.119809,-4.96102598501452,0.17112116136,0.29239205329,5534.91786322
T001173,1173.01,232967440,197.6823,70.7684,11.038,0.96,0.92,9.22,0.87,MS,7.06423,-5.03109999449532,0.1601,1.1534074637,5352.45282482
T001174,1174.01,154089169,209.2181,68.618,10.964,0.76,0.85,2.31,1.01,MS,8.95311,-4.74720169813053,0.290512960963,1.18105643625,5093.17564237
T001180,1180.01,158002130,214.5531,82.194,11.017000000000001,0.73,0.75,2.85,1.1,MS,9.692137,-4.71813591477543,0.3886,2.59936982164,4790.50590113
T001194,1194.01,147950620,167.8205,69.9647,11.302,0.99,0.92,8.86,1.09,MS,2.310602,-5.04444191716865,0.159,0.22849335536999996,5420.31996931
T001235,1235.01,103633434,152.2159,69.2765,11.495,0.63,0.61,1.73,1.05,MS,3.444703,-4.89268237830212,0.6661,3.09558493019,4444.73247174
T001244,1244.01,219850915,256.2803,69.5194,11.929,0.72,0.73,2.39,0.87,MS,6.398386,-4.99272058556204,0.2456,3.04551328185,4675.47032265
T001246,1246.01,230127302,251.1165,70.4296,11.632,0.88,0.87,3.33,0.93,MS,18.652357,-5.12248618391819,0.1465,0.09197374887389999,5151.90646973
135694,1247.01,232540264,227.8705,71.84100000000001,9.08,1.08,1.02,2.8,1.08,MS,15.923849,-4.96100410224441,0.16594461136299998,1.4592157167e-07,5645.9066905
T001248,1248.01,232612416,259.0236,63.106,11.806,0.87,0.89,6.62,0.97,MS,4.360136,-4.921067144758,0.1945,2.26628011532,5272.90555477
T001249,1249.01,232976128,200.5617,66.3087,11.089,1.0,0.95,3.15,0.96,MS,13.0783,-5.08232741031768,0.1504,1.4798257333000002,5514.18144525
HIP97166,1255.01,237222864,296.2443,74.0627,9.92,0.87,0.86,2.7,1.1,MS,10.288882,-4.91917013845557,0.213326362835,0.131223442287,5198.42685346
T001269,1269.01,198241702,249.6971,64.5587,11.618,0.85,0.97,2.38,0.79,MS,4.252932,-5.076998374642111,0.1502,1.31005397953,5466.69629136
T001272,1272.01,417948359,199.1966,49.861,11.758,0.81,0.82,4.29,0.92,MS,3.3159970000000003,-4.762299160986849,0.293,0.630335493683,5086.35092982
T001279,1279.01,224297258,185.0639,56.2011,10.714,0.84,0.96,2.58,0.89,MS,9.61548,-4.934661264649111,0.179729679193,0.342872462677,5396.80886718
T001288,1288.01,365733349,313.1666,65.6091,10.445,0.92,1.18,4.73,1.06,MS,2.700062,-4.96083453483058,0.159220669729,0.544663995651,5328.53661364
191939,1339.01,269701147,302.024,66.8506,8.97,0.92,0.95,3.2,1.12,MS,8.880405999999999,-4.90038339871176,0.188719317339,0.06901440666339999,5348.37046803
T001410,1410.01,199444169,334.8832,42.5603,11.110999999999999,0.78,0.71,2.94,1.0,MS,1.216835,-4.8752171603703305,0.3056,1.5544655801700002,4659.68230933
GJ9522A,1411.01,116483514,232.9451,47.0568,10.51,0.69,0.65,1.37,1.0,MS,1.452049,-4.74637910723923,0.6707,2.45816857877,4475.55899772
HIP70705,1416.01,158025009,216.924,41.9534,9.91,0.8,0.81,1.77,1.12,MS,1.069606,-4.76695166904004,0.310180315616,0.500435301499,5010.73184405
