star_id,runname,dvdt,curv,u_dvdt,u_curv
12572,1pl_circ_trend_hires,nan,nan,nan,nan
12572,1pl_circ_trend_hires,nan,nan,nan,nan
12572,1pl_circ_trend_hires,-0.0532,0.0,0.0057,0.0
12572,default_cps,nan,nan,nan,nan
12572,default_cps,nan,nan,nan,nan
12572,default_cps,nan,nan,nan,nan
12572,default_cps,-0.0531,0.0,0.0044,0.0
12572,eccentric,nan,nan,nan,nan
12572,eccentric,nan,nan,nan,nan
12572,eccentric,nan,nan,nan,nan
12572,eccentric,-0.0509,0.0,0.0044,0.0
12572,default,nan,nan,nan,nan
12572,default,nan,nan,nan,nan
12572,default,nan,nan,nan,nan
12572,default,-0.0532,0.0,0.0044,0.0
135694,gp_hires_shk_training,nan,nan,nan,nan
135694,gp_hires_shk_training,nan,nan,nan,nan
135694,gp_hires_shk_training,0.0,0.0,0.0,0.0
135694,circular_2periods_both_circ,nan,nan,nan,nan
135694,circular_2periods_both_circ,nan,nan,nan,nan
135694,circular_2periods_both_circ,nan,nan,nan,nan
135694,circular_2periods_both_circ,nan,nan,nan,nan
135694,circular_2periods_both_circ,0.0136,0.0,0.0086,0.0
135694,default_cps,nan,nan,nan,nan
135694,default_cps,nan,nan,nan,nan
135694,default_cps,nan,nan,nan,nan
135694,default_cps,0.0217,0.0,0.0093,0.0
135694,135694_gp_phot,nan,nan,nan,nan
135694,135694_gp_phot,nan,nan,nan,nan
135694,135694_gp_phot,nan,nan,nan,nan
135694,135694_gp_phot,0.0,0.0,0.0,0.0
135694,circular_2periods,nan,nan,nan,nan
135694,circular_2periods,nan,nan,nan,nan
135694,circular_2periods,nan,nan,nan,nan
135694,circular_2periods,nan,nan,nan,nan
135694,circular_2periods,0.01,0.0,0.01,0.0
135694,circular_hires,nan,nan,nan,nan
135694,circular_hires,nan,nan,nan,nan
135694,circular_hires,nan,nan,nan,nan
135694,circular_hires,0.027,0.0,0.013,0.0
135694,circular,nan,nan,nan,nan
135694,circular,nan,nan,nan,nan
135694,circular,nan,nan,nan,nan
135694,circular,0.0213,0.0,0.0093,0.0
135694,default,nan,nan,nan,nan
