,star_id,day,instrument,count,have_jitter,bjd_jitter
0,154840,2020-07-05,hires_j,3.0,1,2459035.5
1,156141,2020-07-06,hires_j,3.0,1,2459036.5
2,207897,2020-06-07,hires_j,3.0,1,2459007.5
3,63935,2020-01-30,hires_j,3.0,1,2458878.5
4,GJ9522A,2020-07-05,hires_j,3.0,1,2459035.5
5,HIP97166,2020-06-07,hires_j,3.0,1,2459007.5
6,T001272,2020-06-24,hires_j,3.0,1,2459024.5
7,T001422,2020-08-17,hires_j,3.0,1,2459078.5
8,T001443,2020-06-03,hires_j,3.0,1,2459003.5
9,T001444,2020-08-16,hires_j,3.0,1,2459077.5
10,T001451,2020-07-10,hires_j,3.0,1,2459040.5
11,T001691,2020-09-02,hires_j,3.0,1,2459094.5
12,T001794,2020-06-29,hires_j,3.0,1,2459029.5
13,WASP156,,,,0,
14,T001173,,,,0,
15,T001174,,,,0,
16,T001180,,,,0,
17,T001194,,,,0,
18,T001244,,,,0,
19,T001246,,,,0,
20,135694,,,,0,
21,T001248,,,,0,
22,T001249,,,,0,
23,T001269,,,,0,
24,T001279,,,,0,
25,T001288,,,,0,
26,191939,,,,0,
27,T001410,,,,0,
28,T001438,,,,0,
29,12572,,,,0,
30,T001472,,,,0,
31,T001669,,,,0,
32,T001694,,,,0,
33,T001710,,,,0,
34,237566,,,,0,
35,T001723,,,,0,
36,146757,,,,0,
37,T001753,,,,0,
38,T001758,,,,0,
39,T001759,,,,0,
40,T001775,,,,0,
41,93963,,,,0,
42,TIC142381532,,,,0,
43,T001824,,,,0,
44,T002088,,,,0,
