toi,cps,qlp_only?,MES,SNR,
465.01,WASP156,FALSE,34.8,46.6,
509.01,63935,FALSE,19.8,21.4,
554.01,25463,FALSE,11.3,12.7,fit looks good
561.01,T000561,FALSE,9.1,10,"Fit looks crummy, but that's because of overlapping transits"
1136.01,T001136,FALSE,27.7,34.7,
1144.01,HTR155-001,FALSE,114.4,122.8,
1173.01,T001173,FALSE,126.1,135.6,
1174.01,T001174,FALSE,16.2,16.8,
1180.01,T001180,FALSE,28.8,29.7,
1184.01,T001184,FALSE,27.4,32.3,
1194.01,T001194,FALSE,130,138.7,
1235.01,T001235,FALSE,15.6,19,
1237.01,K00244,FALSE,7.4,7.5,"low SNR, we know this is a good transit because it was detected by Kepler, but by itself, it's not compelling"
1244.01,T001244,FALSE,19.3,20.7,
1246.01,T001246,FALSE,20,21.8,
1247.01,135694,FALSE,25.5,26.7,
1248.01,T001248,FALSE,105.1,133.4,
1249.01,T001249,FALSE,14.9,15.9,transit looks fine
1250.01,T001250,FALSE,7.3,8.5,"the transit is low SNR, but more troubling is the fact that the transit center is 20"" off the target stellar position. TOI1250 has no transiting object!"
1255.01,HIP97166,FALSE,26,29,
1258.01,T001258,FALSE,21.4,25.1,
1260.01,T001260E,FALSE,12.5,13.7,transit looks fine
1261.01,T001261,FALSE,8.9,8.8,
1263.01,347039,FALSE,7.3,7.9,"low snr, poor fit"
1264.01,T001264,FALSE,100,132.1,
1269.01,T001269,FALSE,18.9,21.4,
1272.01,T001272,FALSE,27.2,31.8,
1279.01,T001279,FALSE,13.1,14.3,transit looks good
1280.01,T001280E,FALSE,22.1,23.1,
1280.01,T001280,FALSE,22.1,23.1,
1288.01,T001288,FALSE,57.2,88.4,
1290.01,K00246,FALSE,8.8,9.6,"transit looks legit, would have some hesitation about observing if it wasn't a Kepler target"
1301.01,T001301,FALSE,20.7,22.5,
1339.01,191939,FALSE,58.3,66.1,
1346.01,T001346,FALSE,11.7,15.3,both sets of transits look fine
1347.01,T001347,FALSE,14.7,16.1,transit looks fine
1410.01,T001410,FALSE,18.1,22.8,
1411.01,GJ9522A,FALSE,13,15.2,transit looks fine
1415.01,HIP71409,FALSE,22.7,24.4,
1416.01,HIP70705,FALSE,14.6,15.6,"transit looks fine, USP, so ingress/egress issues"
1422.01,T001422,FALSE,18.9,19.7,
1430.01,235088,FALSE,18,21.5,
1432.01,T001432,FALSE,10.5,12.1,
1434.01,102121,FALSE,14.7,14.7,transit looks good
1435.01,T001435,FALSE,7.9,7.4,
1437.01,154840,FALSE,17.4,17.8,
1438.01,T001438,FALSE,15.4,17,
1441.01,T001441,FALSE,11.2,12.6,"boarderline trasnit, not much deeper than the out of transit flux"
1443.01,T001443,FALSE,18.2,19.6,
1444.01,T001444,FALSE,13.2,15,transit looks good
1446.01,T001446,FALSE,8,8,
1451.01,T001451,FALSE,16.2,17.7,
1453.01,T001453,FALSE,21.6,23.8,
1462.01,158259,FALSE,10.3,10.7,Fit looks fine
1469.01,219134,FALSE,15.8,18.3,
1471.01,12572,FALSE,17,19.4,
