overall_priority,tic,toi,jump,programs
1,269701147,1339,191939,"['SC3', 'SC1A', 'SC1B', 'SC2A', 'SC2C']"
2,441765914,2088,T002088,"['SC1D', 'SC3', 'SC1E']"
3,317548889,480,39688,"['SC4', 'SC1A', 'SC1B']"
4,199444169,1410,T001410,"['SC2A', 'SC1A', 'SC1B', 'SC3']"
5,154383539,1436,T001436,"['TOB', 'SC1C', 'SC1E']"
6,142276270,1136,T001136,"['SC3', 'SC1B', 'TOB', 'SC1A', 'SC2C']"
7,232982558,1439,T001439,['SC4']
8,229510866,1181,T001181,['SC4']
9,198153540,1798,T001798,['SC1C']
10,229747848,1347,T001347,"['SC1B', 'SC1C', 'SC2Bi', 'SC1A']"
11,230127302,1246,T001246,"['SC2C', 'SC2A']"
12,453211454,509,63935,"['SC3', 'SC2A', 'SC1A', 'SC1B']"
13,407966340,554,25463,"['SC1A', 'SC3', 'SC1B']"
14,37749396,260,HIP1532,"['SC1A', 'SC1B', 'TOB']"
15,264678534,1611,207897,"['SC2A', 'SC1B', 'SC1A']"
16,91987762,1898,83342,['SC4']
17,119584412,1801,HIP57099,"['SC1E', 'SC1D']"
18,404505029,1842,T001842,['SC4']
19,258514800,1444,T001444,"['SC1C', 'SC2A']"
20,237222864,1255,HIP97166,"['SC1A', 'SC1B', 'SC2Bi', 'SC2A', 'SC3']"
21,417948359,1272,T001272,"['SC2A', 'SC3', 'SC2Bi']"
22,33692729,469,42813,"['SC3', 'SC1B']"
23,306263608,1471,12572,"['SC3', 'SC2A']"
24,159781361,2019,T002019,['SC4']
25,293954617,1430,235088,"['SC1B', 'SC1A', 'SC3']"
26,352413427,1473,6061,"['SC1B', 'SC1A', 'SC3', 'TOB']"
27,180695581,1807,HIP65469,"['SC1C', 'SC1A', 'TOB']"
28,219857012,1742,156141,"['SC1A', 'SC1B', 'SC2A']"
29,377064495,561,T000561,"['SC3', 'SC2C', 'SC1A', 'SC1C', 'SC1B']"
30,232540264,1247,135694,"['SC1B', 'SC3', 'SC2A', 'TOB', 'SC1A']"
31,408618999,1736,T001736,"['SC1B', 'SC1A', 'SC3', 'SC4']"
32,198356533,1437,154840,"['SC2A', 'SC1B', 'SC1A']"
33,27491137,2076,T002076,"['SC1A', 'SC1D', 'SC1B']"
34,368435330,1797,93963,"['SC2A', 'SC1A', 'SC1B']"
35,287080092,1751,146757,"['SC1A', 'SC1B', 'SC2A']"
36,233087860,1184,T001184,['SC2Bi']
37,14336130,1716,237566,"['SC2A', 'SC1A', 'SC1B']"
38,445805961,1710,T001710,['SC2A']
39,417931607,1451,T001451,"['SC1B', 'SC2A', 'SC1A']"
40,71431780,1723,T001723,['SC2A']
41,142387023,1824,T001824,"['TOB', 'SC1A', 'SC1B', 'SC2A']"
42,268334473,1691,T001691,['SC2A']
43,124573851,669,T000669,"['SC3', 'SC1B']"
44,207468071,1836,148193,['SC4']
45,428679607,1669,T001669,['SC2A']
46,139375960,1601,T001601,['SC4']
47,9828416,2114,T002114,['SC4']
48,286916251,1794,T001794,['SC2A']
49,219015370,1294,T001294,['SC4']
50,408636441,1759,T001759,"['SC2A', 'SC1D', 'SC3']"
51,365733349,1288,T001288,['SC2A']
52,116483514,1411,GJ9522A,['SC2A']
53,333473672,1422,T001422,['SC2A']
54,88992642,2145,HIP86040,['SC4']
55,130181866,1726,63433,"['TOB', 'SC1B', 'SC1A']"
56,219854185,1296,T001296,['SC4']
57,169765334,329,T000329,['SC4']
58,237232044,1443,T001443,['SC2A']
59,224297258,1279,T001279,['SC2A']
60,164767175,266,HIP8152,"['SC1B', 'SC1A', 'SC3']"
61,142381532,1823,TIC142381532,['SC2A']
62,367858035,1758,T001758,['SC2A']
63,229650439,1438,T001438,['SC2A']
64,154089169,1174,T001174,['SC2A']
65,21535395,1776,95072,"['SC1B', 'SC3', 'SC1A']"
66,158002130,1180,T001180,['SC2A']
67,232967440,1173,T001173,['SC2A']
68,232976128,1249,T001249,['SC2A']
69,306955329,1472,T001472,['SC2A']
70,147950620,1194,T001194,['SC2A']
71,396740648,1694,T001694,['SC2A']
72,199376584,1456,332231,['SC3']
73,270380593,465,WASP156,['SC2A']
74,347013211,2045,T002045,['SC4']
75,237104103,1298,T001298,['SC4']
76,198241702,1269,T001269,['SC2A']
77,9348006,1775,T001775,['SC2A']
78,232612416,1248,T001248,['SC2A']
79,240968774,1467,T001467,['SC1E']
80,343019899,1386,T001386,['SC2Bi']
81,289580577,1753,T001753,['SC2A']
82,8967242,1799,96735,"['SC1B', 'SC1A']"
83,219850915,1244,T001244,['SC2A']
84,39699648,1778,77946,"['SC1B', 'SC1A']"
85,21832928,2128,155060,"['SC1B', 'SC1A']"
