star_id,vmag,ra_deg,dec_deg,fit_pref,dvdt,u_dvdt,curv,u_curv,baseline_tot,have_recon,have_jitter,have_template,tot_iodine,tot_iodine_hires,tot_iodine_apf,cooked?,last_obs_hires,last_obs_apf,baseline_hires,baseline_apf,earliest_obs
12572,9.2,30.9038745,21.280611,eccentric,-0.0595,0.0012,0.0,0.0,1113.9029318299145,YES,no,YES,262.0,66,196.0,cookin,105.69606588967144,177.6611881358549,1113.9029318299145,1013.0826652599499,2458869.82682669
135694,9.08,227.87196,71.84075,gp_prot32d_ntp45d,0.0,0.0,0.0,0.0,1284.9625710798427,YES,no,YES,235.0,83,152.0,COOKED,22.500283429864794,113.34138880576938,1213.749912490137,1194.1214657500386,2458781.9629699
146757,9.327,243.48883500000002,63.533333,default_cps,-0.0079,0.0028,0.0,0.0,1102.9804739197716,YES,no,YES,212.0,69,143.0,cookin,18.495256369933486,116.51286813570186,1042.1102818800136,1004.9628622001037,2458967.95009412
154840,9.17000007629395,256.138755,56.8425,default_cps,-0.0009,0.0016,0.0,0.0,1239.8494634400122,YES,no,YES,196.0,88,108.0,cookin,18.49866502964869,298.50299708591774,1153.8347648903728,959.8451314298436,2458831.07769594
156141,8.85999965667725,257.32887,71.876667,156141_DG,0.0756,0.0044,-4.37e-05,5.4e-06,1068.1320265801623,YES,no,YES,358.0,86,272.0,cookin,21.377641409635544,120.45582600589842,1068.1320265801623,965.9689523298293,2458999.91615642
191939,8.97,302.023035,66.850722,191939_4P_circ_trend_curv,0.1351,0.0029,-7.06e-05,2.8e-06,1272.285234009847,YES,no,YES,368.0,109,259.0,COOKED,21.308419520035386,122.43020842596889,1272.285234009847,1132.348881019745,2458795.83217088
207897,8.37,325.186575,84.333485,1pl_ecc,-0.0002,0.00055,0.0,0.0,968.9551677298732,YES,no,YES,184.0,72,112.0,cookin,198.4708456499502,117.58572707604617,886.8747750497423,968.9551677298732,2459002.88492965
219134,5.57000017166138,348.32072999999997,57.168355,default,-0.00076,0.00015,0.0,0.0,6736.577070700005,YES,no,YES,1222.0,579,643.0,COOKED,135.73397491965443,113.80625360598788,6714.649349340238,3386.0121311899275,2453239.04250015
237566,9.40999984741211,105.08333400000001,56.824167,default,-0.0002,0.0018,0.0,0.0,1067.0162615003064,YES,no,YES,180.0,66,114.0,cookin,22.673497759737074,117.6174382660538,1067.0162615003064,910.8172076297924,2458999.73606515
63935,8.58,117.925167,9.3865,2pl_circ,0.0,0.0,0.0,0.0,1249.825793589931,YES,no,YES,295.0,106,189.0,cookin,218.356382639613,112.56815880583599,1137.930823400151,1249.825793589931,2458727.03187206
75732,5.951,133.149213,28.330819,default,0.00093,0.00028,0.0,0.0,6626.82625625981,YES,no,YES,1073.0,727,346.0,COOKED,198.26604549959302,123.55275347596034,6552.112964190077,3391.8229380501434,2453339.04681472
93963,9.18000030517578,162.7767,25.64106,2_pl_circ_no_trend,0.0,0.0,0.0,0.0,1036.168440669775,YES,no,YES,180.0,65,115.0,cookin,18.51421068003401,112.4895789460279,1036.168440669775,771.9814632800408,2459034.74317306
GJ9522A,10.51,232.94603999999998,47.055278,2pl_circ_notrend,0.0,0.0,0.0,0.0,1219.9053729902953,YES,no,YES,56.0,56,0.0,COOKED,16.377164989709854,inf,1219.9053729902953,N/A,2458853.14328643
HIP97166,9.85000038146973,296.244165,74.062667,HIP97166_2planet-ecc,-0.001,0.0093,6.1e-06,6.7e-06,952.8314207000658,YES,no,YES,311.0,64,247.0,cookin,260.6793918297626,157.60788969602436,828.7120840302669,952.8314207000658,2458978.98651406
T001173,11.039999961853,197.68308,70.767778,default,-0.0009,0.0031,0.0,0.0,1181.893386430107,YES,no,YES,22.0,22,0.0,cookin,22.520945999771357,inf,1181.893386430107,N/A,2458885.01149198
T001174,10.960000038147,209.217165,68.618056,default_cps,-0.056,0.011,0.0,0.0,1181.886918050237,YES,no,YES,26.0,26,0.0,cookin,22.510944429785013,inf,1181.886918050237,N/A,2458885.02796193
T001180,11.0200004577637,214.555785,82.193611,default_cps,-0.0055,0.0048,0.0,0.0,996.0560601502657,YES,no,YES,22.0,22,0.0,cookin,22.505995969753712,inf,996.0560601502657,N/A,2459070.86376829
T001194,11.3000001907349,167.82150000000001,69.964722,1pl_circ,0.0,0.0,0.0,0.0,1233.8091152501293,YES,no,YES,32.0,32,0.0,cookin,22.530518159735948,inf,1233.8091152501293,N/A,2458833.086191
T001244,11.3800001144409,256.279545,69.518889,default,-0.005,0.0043,0.0,0.0,738.0093343602493,YES,no,YES,20.0,20,0.0,cookin,264.526543319691,inf,738.0093343602493,N/A,2459086.88994673
T001246,11.6300001144409,251.11586999999997,70.429722,4pl,0.0047,0.0015,0.0,0.0,923.6608702400699,YES,no,YES,131.0,131,0.0,cookin,248.7026876998134,inf,923.6608702400699,N/A,2458917.06226647
T001248,11.8450002670288,259.023585,63.105556,default,0.0069,0.0045,0.0,0.0,959.2043544398621,YES,no,YES,22.0,22,0.0,cookin,43.317995599936694,inf,959.2043544398621,N/A,2459086.90347437
T001249,11.0900001525879,200.56158000000002,66.308333,default_cps,0.0052,0.0032,0.0,0.0,1181.928234799765,YES,no,YES,26.0,26,0.0,cookin,22.515655810013413,inf,1181.928234799765,N/A,2458884.9819338
T001269,11.6120004653931,249.69663,64.559167,default_2pl,0.0024,0.0028,0.0,0.0,1129.0821838299744,YES,no,YES,21.0,21,0.0,cookin,43.29659505980089,inf,1129.0821838299744,N/A,2458917.04704552
T001272,11.8780002593994,199.19620500000002,49.860833,T001272_ecc_3planet,0.0,0.0,0.0,0.0,1161.0461667599156,YES,no,YES,75.0,75,0.0,cookin,43.35862251976505,inf,1161.0461667599156,N/A,2458885.02103513
T001279,10.710000038147,185.062875,56.201389,default_cps,-0.0064,0.0018,0.0,0.0,1112.9037325503305,YES,no,YES,41.0,41,0.0,cookin,143.3740053595975,inf,1112.9037325503305,N/A,2458833.1480865
T001288,10.4399995803833,313.16704500000003,65.608611,T001288_2p_noTrend,0.0,0.0,0.0,0.0,1240.3837629500777,YES,no,YES,40.0,40,0.0,COOKED,21.30218812962994,inf,1240.3837629500777,N/A,2458827.73987333
T001410,11.1099996566772,334.88283,42.560278,T001410_3planet-combined,-0.005,0.0026,0.0,0.0,1131.9135199999437,YES,no,YES,60.0,60,0.0,cookin,141.72243897989392,inf,1131.9135199999437,N/A,2458815.78986543
T001422,10.6199998855591,354.24084,39.639167,1pl_trend,0.0113,0.0024,0.0,0.0,1144.8838413902558,YES,no,YES,40.0,40,0.0,cookin,141.7132912897505,inf,1144.8838413902558,N/A,2458802.82869173
T001438,10.960000038147,280.923795,74.937778,2pl,0.08,0.0048,0.0,0.0,1004.1102412301116,YES,no,YES,23.0,23,0.0,cookin,16.319544539786875,inf,1004.1102412301116,N/A,2459068.99603864
T001443,10.6700000762939,297.39867000000004,76.139167,default,0.0259,0.0043,0.0,0.0,1063.1014300500974,YES,no,YES,25.0,25,0.0,cookin,22.30734709976241,inf,1063.1014300500974,N/A,2459004.01704726
T001444,10.9399995803833,305.47490999999997,70.943611,no-binning_3p,-0.0005304938250597,,0.0,,997.0192855098285,YES,no,YES,75.0,75,0.0,cookin,21.323517759796232,inf,997.0192855098285,N/A,2459071.08302114
T001451,9.57999992370605,186.524295,61.258889,2pl_circ,0.0016,0.0013,0.0,0.0,1148.8750686398707,YES,no,YES,202.0,66,136.0,cookin,161.29330967972055,112.42873313603923,1100.010492050089,1145.9755755499937,2458828.12202268
T001472,11.3000001907349,14.114249999999998,48.6375,1pl_trend,0.006,0.005,0.0,0.0,872.7234570099972,YES,no,YES,27.0,27,0.0,cookin,145.5919017996639,inf,872.7234570099972,N/A,2459071.1104656
T001669,10.2200002670288,45.956458500000004,83.587222,T001669_outer_giant_circ_DG,-0.0264,0.0056,0.0,0.0,837.8732512700371,YES,no,YES,21.0,21,0.0,cookin,193.45854890998453,inf,837.8732512700371,N/A,2459058.09402423
T001691,10.134,272.40412499999996,86.860278,default_cps,-0.001,0.003,0.0,0.0,1044.221826550085,YES,no,YES,29.0,29,0.0,cookin,16.32552772993222,inf,1044.221826550085,N/A,2459028.87847013
