,star_id,id,observation_id,ra,dec,instrument,counts,iodine_in,bjd,obs_type
0,GJ3193,1412438,j383.296,3.0308306,-16.594444,HIRES,108780,t,2459072.12612388,RV
1,GJ3193,1418578,j389.1137,3.0308306,-16.594444,HIRES,110136,t,2459120.07742621,RV
2,GJ3193,1420571,j395.607,3.0308306,-16.594444,HIRES,104420,t,2459189.93449208,RV
3,GJ3193,1430586,j431.96,3.0308306,-16.594444,HIRES,102736,t,2459482.09915922,RV
4,GJ3193,1434486,j446.93,3.0308306,-16.594444,HIRES,97336,t,2459587.80987102,RV
5,GJ3193,1601309,j486.332,3.0308306,-16.594444,HIRES,160728,t,2459824.12548468,RV
6,GJ3193,1610895,j489.93,3.0308306,-16.594444,HIRES,115760,t,2459832.03363183,RV
7,GJ3193,1737187,j501.76,3.0308306,-16.594444,HIRES,90068,t,2459947.72785021,RV
8,GJ9522A,1412248,j382.369,15.529736,47.055278,HIRES,60060,t,2459068.80552382,RV
9,GJ9522A,1413671,j385.1065,15.529736,47.055278,HIRES,60084,t,2459091.73350849,RV
10,GJ9522A,1418498,j389.872,15.529736,47.055278,HIRES,60060,t,2459118.7490017,RV
11,GJ9522A,1421057,j396.135,15.529736,47.055278,HIRES,60224,t,2459208.15290211,RV
12,GJ9522A,1421208,j396.373,15.529736,47.055278,HIRES,60012,t,2459209.15236583,RV
13,GJ9522A,1422683,j402.121,15.529736,47.055278,HIRES,60248,t,2459272.00301197,RV
14,GJ9522A,1422977,j405.73,15.529736,47.055278,HIRES,44048,t,2459299.97173405,RV
15,GJ9522A,1425307,j414.80,15.529736,47.055278,HIRES,60296,t,2459373.80724775,RV
16,GJ9522A,1427067,j420.265,15.529736,47.055278,HIRES,60200,t,2459405.97165121,RV
17,GJ9522A,1428990,j426.274,15.529736,47.055278,HIRES,60284,t,2459444.85008826,RV
18,GJ9522A,1430436,j429.972,15.529736,47.055278,HIRES,60104,t,2459476.75047455,RV
19,GJ9522A,1431212,j433.132,15.529736,47.055278,HIRES,60068,t,2459498.71904138,RV
20,GJ9522A,1431869,j439.69,15.529736,47.055278,HIRES,60140,t,2459516.70100963,RV
21,GJ9522A,1434805,j447.240,15.529736,47.055278,HIRES,60072,t,2459593.12979212,RV
22,GJ9522A,1436457,j452.127,15.529736,47.055278,HIRES,60152,t,2459632.01371851,RV
23,GJ9522A,1456747,j456.112,15.529736,47.055278,HIRES,60140,t,2459661.04814515,RV
24,GJ9522A,1486894,j459.274,15.529736,47.055278,HIRES,60208,t,2459691.02979101,RV
25,GJ9522A,1543797,j468.218,15.529736,47.055278,HIRES,60104,t,2459730.06889872,RV
26,GJ9522A,1543932,j469.84,15.529736,47.055278,HIRES,60120,t,2459737.8395304,RV
27,GJ9522A,1546219,j474.69,15.529736,47.055278,HIRES,60128,t,2459759.9797514,RV
28,GJ9522A,1547104,j479.17,15.529736,47.055278,HIRES,60164,t,2459779.94847834,RV
29,GJ9522A,1604228,j487.71,15.529736,47.055278,HIRES,60052,t,2459826.76686903,RV
30,GJ9522A,1756492,j502.292,15.529736,47.055278,HIRES,60108,t,2459955.1604348,RV
31,GJ9522A,1982580,j505.66,15.529736,47.055278,HIRES,60004,t,2460040.05971224,RV
32,GJ9522A,1982581,j506.64,15.529736,47.055278,HIRES,60156,t,2460043.05272468,RV
33,GJ9522A,1988916,j507.66,15.529736,47.055278,HIRES,60128,t,2460045.0872987,RV
34,GJ9522A,1989248,j507.164,15.529736,47.055278,HIRES,60160,t,2460046.07932938,RV
35,GJ9522A,1994099,j507.266,15.529736,47.055278,HIRES,60208,t,2460047.12534151,RV
36,GJ9522A,2051692,j509.82,15.529736,47.055278,HIRES,60084,t,2460066.86332294,RV
37,GJ9522A,2054469,j509.266,15.529736,47.055278,HIRES,60028,t,2460068.07097143,RV
38,GJ9522A,2063249,j510.74,15.529736,47.055278,HIRES,36036,t,2460070.83855239,RV
39,GJ9522A,2067143,j511.17,15.529736,47.055278,HIRES,60316,t,2460073.04865942,RV
40,GL357,1422639,j402.82,9.6004545,-21.660797,HIRES,77160,t,2459271.81905111,RV
41,HD 12572,1411955,cba.103,2.0602583,21.280611,APF,345000000,t,2459062.91195606,RV
42,HD 12572,1411983,j381.85,2.0602583,21.280611,HIRES,250188,t,2459064.08526432,RV
43,HD 12572,1412049,cbc.501,2.0602583,21.280611,APF,503000000,t,2459064.86819796,RV
44,HD 12572,1412249,j382.415,2.0602583,21.280611,HIRES,250572,t,2459069.09846578,RV
45,HD 12572,1412341,cbh.715,2.0602583,21.280611,APF,348000000,t,2459069.9996737,RV
46,HD 12572,1412630,cbl.106,2.0602583,21.280611,APF,271000000,t,2459073.9440755,RV
47,HD 12572,1412703,cbo.815,2.0602583,21.280611,APF,374000000,t,2459077.01800835,RV
48,HD 12572,1413674,j385.305,2.0602583,21.280611,HIRES,168612,t,2459087.99440735,RV
49,HD 12572,1413675,j385.1106,2.0602583,21.280611,HIRES,250152,t,2459092.09755373,RV
50,HD 12572,1418236,j389.116,2.0602583,21.280611,HIRES,250680,t,2459115.09702398,RV
51,HD 12572,1418318,j389.280,2.0602583,21.280611,HIRES,250720,t,2459116.0364047,RV
52,HD 12572,1418371,j389.464,2.0602583,21.280611,HIRES,250512,t,2459116.98864488,RV
53,HD 12572,1418436,j389.698,2.0602583,21.280611,HIRES,250384,t,2459118.03804092,RV
54,HD 12572,1418762,j389.1510,2.0602583,21.280611,HIRES,250028,t,2459122.05785911,RV
55,HD 12572,1418881,j389.1752,2.0602583,21.280611,HIRES,250188,t,2459123.13792085,RV
56,HD 12572,1418940,j389.1922,2.0602583,21.280611,HIRES,250216,t,2459124.06804342,RV
57,HD 12572,1419082,j390.86,2.0602583,21.280611,HIRES,44220,t,2459143.07340993,RV
58,HD 12572,1419168,ceh.488,2.0602583,21.280611,APF,374000000,t,2459147.85220375,RV
59,HD 12572,1419455,cep.610,2.0602583,21.280611,APF,338000000,t,2459155.82788635,RV
60,HD 12572,1419497,ceq.096,2.0602583,21.280611,APF,354000000,t,2459156.8090813,RV
61,HD 12572,1419527,cer.295,2.0602583,21.280611,APF,391000000,t,2459157.82644325,RV
62,HD 12572,1419548,ces.491,2.0602583,21.280611,APF,319000000,t,2459158.9273322,RV
63,HD 12572,1419631,cfa.315,2.0602583,21.280611,APF,72200000,t,2459166.7961998,RV
64,HD 12572,1419663,cfc.801,2.0602583,21.280611,APF,391000000,t,2459168.7873467,RV
65,HD 12572,1419704,cfd.106,2.0602583,21.280611,APF,375000000,t,2459169.79278965,RV
66,HD 12572,1419750,cfj.506,2.0602583,21.280611,APF,277000000,t,2459175.77522035,RV
67,HD 12572,1419804,cfm.304,2.0602583,21.280611,APF,285000000,t,2459178.7781782,RV
68,HD 12572,1419983,cfr.105,2.0602583,21.280611,APF,328000000,t,2459183.88906794,RV
69,HD 12572,1420269,j395.81,2.0602583,21.280611,HIRES,250136,t,2459187.83238615,RV
70,HD 12572,1420515,cfw.701,2.0602583,21.280611,APF,258000000,t,2459188.75214469,RV
71,HD 12572,1420377,j395.387,2.0602583,21.280611,HIRES,203792,t,2459188.78273384,RV
72,HD 12572,1420711,cga.808,2.0602583,21.280611,APF,293000000,t,2459192.85324849,RV
73,HD 12572,1420899,cgm.394,2.0602583,21.280611,APF,336000000,t,2459204.69479389,RV
74,HD 12572,1421476,che.092,2.0602583,21.280611,APF,226000000,t,2459222.76054598,RV
75,HD 12572,1421646,chj.689,2.0602583,21.280611,APF,237000000,t,2459227.80526872,RV
76,HD 12572,1422089,j400.469,2.0602583,21.280611,HIRES,60668,t,2459238.74930192,RV
77,HD 12572,1422172,cij.490,2.0602583,21.280611,APF,173000000,t,2459253.73717941,RV
78,HD 12572,1422400,j401.168,2.0602583,21.280611,HIRES,250700,t,2459267.71574405,RV
79,HD 12572,1422808,j403.70,2.0602583,21.280611,HIRES,250452,t,2459280.73180499,RV
80,HD 12572,1425653,j415.708,2.0602583,21.280611,HIRES,60464,t,2459380.11746191,RV
81,HD 12572,1425724,j416.92,2.0602583,21.280611,HIRES,60416,t,2459382.12023395,RV
