,star_id,instrument_recon,bjd_recon,have_recon
0,12572,hires_j,2458869.83005537,1
1,135694,hires_j,2458906.11392687,1
2,146757,hires_j,2458919.06905056,1
3,154840,hires_j,2458815.68654969,1
4,156141,hires_j,2458919.07573411,1
5,191939,hires_j,2458794.79474006,1
6,207897,hires_j,2453964.06076698,1
7,237566,hires_j,2458904.88252635,1
8,63935,hires_j,2458795.04099944,1
9,93963,hires_j,2458999.75812265,1
10,GJ9522A,hires_j,2458853.13531206,1
11,HIP97166,apf,2458975.98598709,1
12,T001173,hires_j,2458833.16635067,1
13,T001174,apf,2458799.976079,1
14,T001180,hires_j,2458919.04514709,1
15,T001194,hires_j,2458828.10965893,1
16,T001244,hires_j,2458815.70503175,1
17,T001246,hires_j,2458815.6924422,1
18,T001248,hires_j,2458815.71005678,1
19,T001249,hires_j,2458833.16394666,1
20,T001269,hires_j,2458815.68915704,1
21,T001272,hires_j,2458833.16135697,1
22,T001279,apf,2458790.95140178,1
23,T001288,apf,2458783.78430022,1
24,T001410,hires_j,2458798.83181039,1
25,T001422,hires_j,2458798.83779673,1
26,T001438,hires_j,2458815.72305422,1
27,T001443,hires_j,2458819.71820283,1
28,T001444,hires_j,2458819.73542716,1
29,T001451,hires_j,2458809.13059866,1
30,T001472,hires_j,2458827.78953052,1
31,T001669,hires_j,2458904.73983451,1
32,T001691,hires_j,2458919.12539934,1
33,T001694,hires_j,2458880.93376313,1
34,T001710,hires_j,2458903.78037347,1
35,T001723,hires_j,2458904.87190543,1
36,T001753,hires_j,2458919.0727778,1
37,T001758,hires_j,2459030.10946937,1
38,T001759,hires_j,2459025.04661782,1
39,T001775,hires_j,2458995.80076086,1
40,T001794,hires_j,2458995.81252304,1
41,T001824,apf,2458968.75157145,1
42,T002088,hires_j,2459068.84196735,1
43,TIC142381532,hires_j,2458913.1029168,1
44,WASP156,hires_j,2458809.02144974,1
