,star_id
0,12572
1,135694
2,146757
3,154840
4,156141
5,191939
6,207897
7,219134
8,237566
9,63935
10,75732
11,93963
12,GJ9522A
13,HIP97166
14,T001173
15,T001174
16,T001180
17,T001194
18,T001244
19,T001246
20,T001248
21,T001249
22,T001269
23,T001272
24,T001279
25,T001288
26,T001410
27,T001422
28,T001438
29,T001443
30,T001444
31,T001451
32,T001472
33,T001669
34,T001691
35,T001694
36,T001710
37,T001723
38,T001753
39,T001758
40,T001759
41,T001775
42,T001794
43,T001824
44,T002088
45,TIC142381532
46,WASP156
