,star_id,hires_template_bjd,counts,iodine_in
1152,12572,2458878.79790999,250408,f
305,135694,2458918.05085085,251152,f
932,154840,2458918.13041003,250868,f
1249,156141,2459010.94532718,250276,f
779,191939,2458827.76239343,251108,f
1198,207897,2453964.06076698,500716,f
183,63935,2458795.04745805,251140,f
833,GJ9522A,2459025.81715772,250004,f
507,HIP97166,2459027.99139969,250416,f
219,T001194,2458880.95843238,250012,f
248,T001246,2459011.91761209,204332,f
574,T001272,2459011.89162639,125040,f
605,T001279,2458834.1314892,250272,f
626,T001288,2458844.74143683,250012,f
808,T001410,2458870.7408545,223132,f
854,T001422,2458879.7352768998,250096,f
998,T001444,2459078.93043622,250116,f
1095,T001451,2458834.11782142,250336,f
1284,T001759,2459072.09327609,125052,f
1334,T001824,2459041.79298136,250288,f
1347,T002088,2459092.86251074,104084,f
1314,TIC142381532,2459024.80754259,232228,f
