,tic,toi,cps,ra,dec,vmag,smass,sradius,evol,ruwe,rp,period
0,231663901,101.01,-,318.737,-55.8718,13.043,1.05,0.89,MS,,13.58,1.4303
108,441462736,197.01,221416,353.0336,-21.8014,8.15,,2.9,SG,,7.61,14.2796
152,9006668,238.01,T000238,349.2314,-18.6066,10.748,0.84,0.77,MS,,1.23,1.2724
168,49687222,254.01,220798,351.7055,-11.7254,10.263,,1.02,SG,,3.28,20.1865
175,37749396,260.01,HIP1532,4.7732,-9.9648,9.9,0.63,0.62,MS,,1.64,13.47
176,63898957,261.01,5976,15.2176,-24.4239,9.56,1.07,1.28,MS,,2.91,3.3635
182,164767175,266.01,HIP8152,26.2096,-18.4009,10.07,1.04,0.92,MS,,2.41,10.7678
235,9102327,313.01,T000313,350.7798,-19.4197,11.905999999999999,0.93,1.45,MS,,5.07,3.2615
251,169765334,329.01,T000329,351.3209,-15.6347,11.262,0.98,1.61,SG,,5.12,5.7043
312,250386181,390.01,T000390,30.1144,-4.9856,10.329,1.25,1.08,MS,,8.66,1.4703
347,94986319,421.01,T000421,81.8534,-14.2769,9.931000000000001,0.92,0.86,MS,,6.45,16.0689
357,31374837,431.01,HIP26013,83.2692,-26.7245,9.12,0.8,0.73,MS,,3.62,12.4594
369,70899085,442.01,T000442,64.19,-12.084,12.492,0.59,0.61,MS,,4.65,4.052
382,98796344,455.01,GJ3193,45.4642,-16.5934,10.59,0.25,0.28,MS,,1.37,5.3588
389,420049884,462.01,T000462,36.2764,1.3237,11.658,,1.3,MS,,2.81,4.1068
392,270380593,465.01,WASP156,32.7818,2.418,11.559000000000001,0.81,0.85,MS,,5.64,3.8363
396,33692729,469.01,42813,93.0582,-14.65,9.49,0.91,1.01,MS,,3.69,13.6329
407,317548889,480.01,39688,88.3787,-16.265,7.28,1.2,1.5,MS,,3.08,6.8662
430,172193428,502.01,T000502,98.532,-28.4042,10.937000000000001,1.11,1.21,MS,,8.0,2.9418
437,453211454,509.01,63935,117.925,9.3861,8.58,0.98,0.96,MS,,3.07,18.1198
444,318937509,516.01,T000516,112.3815,2.8481,17.2,0.5,0.51,MS,,4.18,1.0486
466,237751146,538.01,T000538,104.3317,4.029,16.54,0.43,0.43,MS,1.07,5.98,1.67
485,407966340,554.01,25463,60.7479,9.2085,6.9110000000000005,1.25,1.43,MS,,3.41,7.0486
491,101011575,560.01,73583,129.6886,-13.2567,9.67,0.75,0.63,MS,,2.85,6.3974
492,377064495,561.01,T000561,148.1856,6.2164,10.252,0.95,0.84,MS,1.13,3.77,10.7813
495,413248763,562.01,GL357,144.0068,-21.6608,10.91,0.35,0.36,MS,,1.3,3.9308
536,262746281,603.01,T000603,141.1079,5.7662,10.312000000000001,1.07,1.63,SG,0.88,9.58,8.0885
546,77527511,613.01,T000613,142.263,-5.3755,10.842,,2.19,SG,,8.76,0.7786
553,296739893,620.01,T000620,142.1733,-12.1655,12.262,0.54,0.55,MS,,2.73,5.0984
598,55092869,664.01,93396,161.7073,-9.399,8.04,,2.79,SG,,13.69,4.7361
603,124573851,669.01,T000669,158.9006,-5.1817,10.606,1.0,0.99,MS,,3.84,3.9487
606,151825527,672.01,T000672,167.9904,-39.3278,13.575999999999999,0.54,0.54,MS,,5.03,3.6336
608,158588995,674.01,T000674,164.5874,-36.8581,14.203,0.42,0.42,MS,1.47,4.43,1.9772
614,335499997,680.01,HIP58234,179.1639,-12.3774,9.53,1.1,1.76,SG,,5.74,0.4337
616,429304876,682.01,97260,167.8858,-22.0726,9.969,0.85,1.08,MS,,4.09,6.8393
672,144138509,729.01,T000729,176.0356,-9.9489,11.02,1.12,1.23,MS,,4.34,
680,181804752,736.01,T000736,165.6915,-16.4062,16.91,0.14,0.17,MS,,2.02,4.9901
722,306996324,776.01,T000776,178.5766,-37.5527,11.536,0.53,0.53,MS,,2.16,15.6557
799,33595516,849.01,T000849,28.7154,-29.4218,11.981,0.91,0.92,MS,,3.54,0.7657
802,29918916,852.01,T000852,24.7403,-7.2809,11.638,0.98,1.73,MS,,8.76,4.9466
904,44792534,954.01,T000954,61.9411,-25.2087,10.343,1.03,1.93,SG,,9.06,3.685
921,177722855,971.01,T000971,107.4216,-11.329,11.168,1.03,1.37,MS,0.85,3.42,2.3893
1086,122220263,1134.01,T001134,290.0208,36.6377,9.546,1.23,1.65,MS,,18.24,
